"Title","Date_received","Opinion","Number_of_Findings","Nature_of_Findings",
"240 - Tenth Judicial Distrcit Court (2008)","2008-12-15","Unqualified","2","<p>CY-2 1)Recording of Capital Assets on the government wide financial statements 2)Controls over financial reporting</p>",
"240 - Tenth Judicial District Court (2009)","2009-12-10","Unqualified","0","",
"240 - Tenth Judicial District Court (2010)","2010-11-19","Unqualified","0","",
"240 - Tenth Judicial District Court (2011)","2011-12-01","Unqualified","0","",
"7083 - Texico Municipal Schools (1998)","1998-01-01","Unqualified","0"," ",
"7083 - Texico Municipal Schools (1999)","1999-01-01","Unqualified","2","Federal Funds in Operational Account, Funds Not Being Accounted For ",
"7083 - Texico Municipal Schools (2000)","2000-01-01","Unqualified","0"," ",
"7083 - Texico Municipal Schools (2001)","2001-11-15","Unqualified","0"," ",
"7083 - Texico Municipal Schools (2002)","2002-11-15","Unqualified","1","CY (1) budget expenditures authority was exceeded - athletics fund ",
"7083 - Texico Municipal Schools (2003)","2003-11-07","Unqualified","0"," ",
"7083 - Texico Municipal Schools (2004)","2005-01-31","Unqualified","2","2 CY: 1) The audit report was late; 1) Missing property tax information (questionable).",
"7083 - Texico Municipal Schools (2005)","2006-02-21","Unqualified","2","2 PY: 1) The audit report was late; 2) Tax information.",
"7083 - Texico Municipal Schools (2006)","2006-11-15","Unqualified","4","4 CY: 1) Depreciation policy; 2) Amended contract for bus fleeet contractor; 3) Addendums to employee contracts; 4) Budget overruns.",
"7083 - Texico Municipal Schools (2007)","2007-11-15","Unqualified","1","",
"7083 - Texico Municipal Schools (2008)","2008-11-14","Unqualified","0","",
"7083 - Texico Municipal Schools (2009)","2009-10-01","Unqualified","0","",
"7083 - Texico Municipal Schools (2010)","2010-10-27","Unqualified","0","",
"7083 - Texico Municipal Schools (2011)","2011-10-19","Unqualified","0","",
"975-A - The Education Foundation of Santa Fe (2008)","2008-11-17","Unqualified","0","",
"975-A - The Education Foundation of Santa Fe (2009)","2009-11-15","Unqualified","0","",
"975-A - The Education Foundation of Santa Fe (2010)","2010-11-15","Unqualified","1","",
"975-A - The Education Foundation of Santa Fe (2011)","2011-11-15","Unqualified","0","",
"11004 - The Village at Rio Rancho Tax Increment Development District (2011)","2011-11-17","Agreed Upon Procedure (No Opinion)","1","",
"253 - Third Judicial District Attorney (2001)","2001-12-17","Unqualified","1","(1)PY - Budget Authority-Region VII DCSI Fund ",
"253 - Third Judicial District Attorney (2002)","2002-12-16","Unqualified","1","CY (1) reversion of unreserved fund balance ",
"253 - Third Judicial District Attorney (2003)","2003-12-15","Unqualified","0"," ",
"253 - Third Judicial District Attorney (2004)","2004-12-15","Unqualified","4","<p>4 CY - (1)Legal compliance with general fund balance. (1)Employee vs. Independent contractor. (1)Tax withholding &amp; reporting of authorized commuting in assigned vehicles. (1)Purchase commitments made prior to encumbrance approval.</p>",
"253 - Third Judicial District Attorney (2005)","2005-12-15","Unqualified","1","<p>1 CY: Unauthorized use of state owned vehicles.</p>",
"253 - Third Judicial District Attorney (2006)","2006-12-15","Unqualified","0","<p>None</p>",
"253 - Third Judicial District Attorney (2007)","2007-12-14","Unqualified","1","<p>CY-1 1)Investment reconciliation &amp; summary report</p>",
"253 - Third Judicial District Attorney (2008)","2009-01-15","Unqualified","4","<p>PY-1 1)Investment reconciliation and investment summary report CY-3 1)Late Audit Report 2)Employe insurance benefits for dependents 3)Employee being paid as personal services contractors</p>",
"253 - Third Judicial District Attorney (2009)","2009-12-14","Unqualified","2","",
"253 - Third Judicial District Attorney (2010)","2011-02-02","Unqualified","2","",
"253 - Third Judicial District Attorney (2011)","2011-12-13","Unqualified","1","",
"233 - Third Judicial District Court (2001)","2001-12-24","Unqualified","8","(2)PY - Budget Authority-Mediation Program Fund/Unreserved Fund Balance-General Fund CY(6) - Bank Reconciliations/General Ledger/Subsidiary Records Reconciliation-Agency Funds/Fixed Assets/Cash Mgmt/Late Audit Report ",
"233 - Third Judicial District Court (2002)","2002-12-23","Unqualified","3","PY - (1)The audit report was late (1)Reversion of funds was not done properly (1)Subsidiary records were not reconciled ",
"233 - Third Judicial District Court (2003)","2003-11-15","Unqualified","1","CY - (1)Procurement code - RFP&#039;s ",
"233 - Third Judicial District Court (2004)","2004-12-15","Unqualified","4","1 PY - (1)There were purchase/procurement code violations. - 3 CY - (1)I-9 not in employee file. (1)Monthly cash reconciliation not timely submitted to DFA. (1)Grant funds not expended timely. ",
"233 - Third Judicial District Court (2005)","2005-12-15","Unqualified","4","1 PY: Grant funds not expended timely. 3 CY: 1) Lack of appropriate detail/receipts; 2) Not processing vendor payments timely; 3) Reversions not timely.",
"233 - Third Judicial District Court (2006)","2006-12-15","Unqualified","2","2 PY: 1) Lack of appropriate detail/receipts; 2) Reversions not timely.",
"233 - Third Judicial District Court (2007)","2007-12-14","Unqualified","3","PY&amp;CY-1 1)Reversions to the State General Fund &amp; the Human Services Division weren&#039;t submitted timely CY-2 1)1 of 12 tested employee files revealed that they were incorrectly excluded from PERA for 1 pay period 2)A large purchase of furniture was incorrectly procured, seating was purchased under the furniture state contract &amp; the furniture was purchased utilizing the seating state contract",
"233 - Third Judicial District Court (2008)","2008-12-12","Unqualified","1","<p>PY-1 1)Reversions not timely</p>",
"233 - Third Judicial District Court (2009)","2009-12-15","Unqualified","4","",
"233 - Third Judicial District Court (2010)","2010-11-15","Unqualified","10","",
"233 - Third Judicial District Court (2011)","2011-12-13","Unqualified","5","",
"263 - Thirteenth Judicial District Attorney (2001)","2002-09-16","Unqualified","10","PY (1)-late audit report, (1) timeliness of deposits to bank, (1) cash receipts not issued, (1) pd bills / invoices not stamped paid, (1) Reversions to general fund not done timely - CY (1) fixed capital asset records are inadequate/listing prepared 1 yr late, (1) expenditure documentation inadequate or erroneous, (1) bank accounts were not reconciled reconciliation missing (1) lost or misplaced laptop computer, (1) incomplete or missing form I-9 ",
"263 - Thirteenth Judicial District Attorney (2002)","2002-12-16","Unqualified","4","3 PY - (1)Unexpended &amp; unencumbered funds were not reverted to DFA in a timely manner. (1)Some funds collected for the worthless check &amp; pre-prosecution diversion funds were not deposited in a timely manner. (1)Receipts were not consistently issued for money received from participants of the pre-prosecution &amp; worthless check programs. - 1 CY - (1) One personnel evaluation was performed three months late. The form was missing from the individual&#039;s personnel file. ",
"263 - Thirteenth Judicial District Attorney (2003)","2003-12-30","Unqualified","4","1 PY - (1)Personnel evaluation. - 3 CY - (1)The audit report was late. (1)Receipts book. (1)Segregation of duties. ",
"263 - Thirteenth Judicial District Attorney (2004)","2004-12-15","Unqualified","2","PY - (1)Personnel evaluations. (1)Receipt books. ",
"263 - Thirteenth Judicial District Attorney (2005)","2005-12-15","Unqualified","3","1 PY: Personnel evaluation. 2 CY: 1) Misappropria-tion of funds - district suspects that money has been stolen by an employee; 2) Payment of reversions to state general fund.",
"263 - Thirteenth Judicial District Attorney (2006)","2006-12-15","Unqualified","2","2 CY: 1) Not filed the required state balance report &amp; interest earnings activity reports (forms CMD-3 &amp; CMD-4); 2)Misuse of gas card.",
"263 - Thirteenth Judicial District Attorney (2007)","2008-02-25","Qualified","2","<p>CY-2 1)The District Attorneys records do not agree with the PERA records for the agency. The PERA records are overstated by $152,997. 2)Late Audit Report</p>",
"263 - Thirteenth Judicial District Attorney (2008)","2008-12-10","Unqualified","0","",
"263 - Thirteenth Judicial District Attorney (2009)","2009-12-01","Unqualified","0","",
"263 - Thirteenth Judicial District Attorney (2010)","2010-11-05","Unqualified","0","",
"263 - Thirteenth Judicial District Attorney (2011)","2011-11-10","Unqualified","1","",
"243 - Thirteenth Judicial District Court (2001)","2001-12-14","Unqualified","9","(1)PY - General Fund Reversion CY(8)-Budget Over Expenditure/Annual and Sick Leave Records/Bonds Held for Litigants/Purchasing/Capital Outlay/Personnel Files and Payroll/Agency Cash/Missing FACTS Receipts ",
"243 - Thirteenth Judicial District Court (2002)","2002-12-16","Unqualified","6","3 PY - (1)Fixed (capital) asset records are inadequate.(Erroneous) (2)Bank accounts were not reconciled. - 3 CY - (1)The accounting records were inadequate/out of balance. (1)There were payroll and payroll tax form irregularities. (1)Timely transfer of deposits to State Treasurer. ",
"243 - Thirteenth Judicial District Court (2003)","2003-12-15","Unqualified","6","CY (1) budget expenditures authority was exceeded, (1) Valencia Cty State Treasurers bank balance was greater than $15,000 in 9 of 12 months of the fiscal year, (1)unexpended and unencumbered budget balances have not been reverted to DFA for FYE 2002, (1) some vouchers did not have signatures on bills or invoices to indicate that the bill was a proper billing for services actually performed, (1) use of a stamp does not provide documentation that the voucher was approved by someone other than the preparer of the document and(1) the federal program CFDA #16.523 the final report for performance and outcome was not submitted timely. ",
"243 - Thirteenth Judicial District Court (2004)","2004-12-15","Unqualified","5","2 PY - (1)State Treasurer&#039;s account balance. (1)Reversion. - 3 CY - (1)Budget. (1)Capital Outlay. (1)Cash receipts. ",
"243 - Thirteenth Judicial District Court (2005)","2005-12-15","Unqualified","7","3 PY: 1) State Treasurers account balance (revised &amp; repeated); 2) Capital assets were not coded to a capital outlay line item; 3) Cash receipts not deposited in a timely manner. 4 CY: 1) Fraud policy not yet implemented; 2) Bonds held for litigants does not tie to cash held in the bank; 3) Agency cash does not tie to the balance due to the State Treasurer; 4) Expenditure testing samples missing the supporting documents.",
"243 - Thirteenth Judicial District Court (2006)","2006-12-21","Unqualified","1","PY 1)State Treasurers Account Balance",
"243 - Thirteenth Judicial District Court (2007)","2008-10-31","Unqualified","9","<p>PY-1 1)Bank accounts balances breater than $15K CY-8 1)Controls related to procurement-the expenditures were not properly authorized and approved 2)Lack of controls over maintaining the general ledger and audit report 3)Lack of certification of capital assets annual inventory and OSA not notified of disposition of assets 4)Cash control of Fiduciary Funds-lack of sgregation of duties 5)Late Audit Report 6)Reversion not made timely to the State General Fund 7)Retention requirements for documentation of REP's 8)Unbilled receivables</p>",
"243 - Thirteenth Judicial District Court (2008)","2008-12-15","Unqualified","7","<p>PY-7 1)State Treasurer's Account Balance-bank balance is greater than 15K 2)Controls related to procurement code 3)Controls over maintaining the General Ledger and Audit Report-auditor had to make adjustments to the Court's books 4)Certification of capital assets, annual inventory and notification to the State Auditors Office regarding disposition 5)Cash controls of Fiduciary Funds-the court holds $3M in fiduciary funds and lacks segregation of duties 6)Reversions not made timely to the State General Fund 7)Retention requirements for documentation of RFP's</p>",
"243 - Thirteenth Judicial District Court (2009)","2009-12-15","Unqualified","2","",
"243 - Thirteenth Judicial District Court (2010)","2010-12-15","Unqualified","5","",
"243 - Thirteenth Judicial District Court (2011)","2011-12-13","Unqualified","4","",
"4074 - Thoreau Water & Sanitation District (2004)","2005-01-19","Qualified","3","1)Fixed capital asset records are inadequate 2)Late Audit Report 3)Pension plan not properly established",
"4074 - Thoreau Water & Sanitation District (2005)","2005-11-15","Qualified","2","CY-2 1)Capital assets 2)Defined contribution Pension Plan",
"4074 - Thoreau Water & Sanitation District (2006)","2006-10-25","Qualified","0","",
"4074 - Thoreau Water & Sanitation District (2007)","2007-09-20","Qualified","3","PY&amp;CY-2 1)Capital asset records are inadequate 2)Defined contribution pension plan was not properly established or funded CY-1 1)Lack of segregation of duties",
"4074 - Thoreau Water & Sanitation District (2008)","2008-12-01","Qualified","4","<p>PY-3 1)Lack of maintenance of capital asset listing 2)Improper establishment of and lack of funding of defined contribution plan 3)Lack of segregation of duties in cash receipts and general ledger recording CY-1 1)SAS 112 finding; auditor prepared the financial statements</p>",
"4074 - Thoreau Water & Sanitation District (2009)","2009-12-01","Qualified","4","",
"4074 - Thoreau Water & Sanitation District (2010)","2010-11-30","Qualified","4","",
"4074 - Thoreau Water & Sanitation District (2011)","2011-11-29","Qualified","4","",
"8042 - Tierra Y Montes Soil & Water Conservation District (2004)","2006-01-04","Qualified","0","",
"8042 - Tierra Y Montes Soil & Water Conservation District (2005)","2007-07-11","Unqualified","1","<p>CY-1 1)Disposal of assets not reported to State Auditor's Office</p>",
"8042 - Tierra Y Montes Soil & Water Conservation District (2006)","2009-10-09","Unqualified","0","",
"8042 - Tierra Y Montes Soil & Water Conservation District (2006)","2009-10-09","Unqualified","0","",
"8042 - Tierra Y Montes Soil & Water Conservation District (2007)","2009-11-18","Unqualified","1","",
"8042 - Tierra Y Montes Soil & Water Conservation District (2008)","2009-11-18","Unqualified","1","",
"8042 - Tierra Y Montes Soil & Water Conservation District (2009)","2009-11-18","Unqualified","0","",
"8042 - Tierra Y Montes Soil & Water Conservation District (2010)","2010-09-27","Unqualified","1","",
"8042 - Tierra Y Montes Soil & Water Conservation District (2011)","2011-11-15","Unqualified","2","",
"4097 - Timberon Water & Sanitation District (2004)","2005-07-13","Unqualified","1","<p>1)Late Audit Report</p>",
"4097 - Timberon Water & Sanitation District (2005)","2005-12-01","Unqualified","0","",
"4097 - Timberon Water & Sanitation District (2006)","2006-11-13","Unqualified","1","<p>CY-1 1)Budget variances</p>",
"4097 - Timberon Water & Sanitation District (2007)","2006-11-13","Disclaimer","8","",
"4097 - Timberon Water & Sanitation District (2008)","2011-08-12","Disclaimer","11","",
"5030 - Torrance County (1998)","1998-01-01","Qualified","21","P/Y (17), C/Y (4), Cash, F/A, Pruch., P/R, EDP, Invest., Acct. Records ",
"5030 - Torrance County (1999)","1999-01-01","Pending","0"," ",
"5030 - Torrance County (2000)","2001-12-25","Qualified","9","(2)Prior year - Fixed assets/Grant Reimbursements (7)CY - County&#039;s matching share/PR classifications/Multiple programs in one fund/Medicaid reimb/Medicaid transportation logs/Coding of receipts/Late audit report ",
"5030 - Torrance County (2001)","2003-07-30","Qualified","18","9 PY - (1)Medicaid reimbursment requests. (1) Medicaid trasportation logs. (1)Fixed Assets. (1)Receipt of Grant monies. (1)County&#039;s matching share. (1)Payroll classifications. (1)Multiple programs in one fund. (1)Coding of receipts. (1)Late audit report. - 9 CY - (1)Disbursements charged to the wrong fund. (1)Grant payments. (1)CCA Jain contract. (1) Bid award. (1)Compensating tax. (1)Social Security withholding. (1)Budget overruns. (1)Expenditure category overruns. (1)General fund supporting smaller funds. ",
"5030 - Torrance County (2002)","2003-07-30","Qualified","20","16 PY - (1)Fixed asset records are inadequate. (1)Budget expenditures authority was exceeded. (1)Expenditure documentation inadequate or erroneous. (1)There were payroll and payroll tax form irregularities. (1)The audit report was late. (1)Grant monies. (1)County&#039;s matching share. (1)Payroll class. (1)Multiple programs in one fund. (1)Coding of receipts. (1)Grant payments. (1)Jail contract. (1)Bid awards. (1)Compensating tax. (1)Expenditure category overrun. (1)General fund supporting other funds. - 4 CY - (1)There were purchase/procurement code violations. (1)Abandoned property laws violated. (1)Public money act violations. (1)Property tax schedule. ",
"5030 - Torrance County (2003)","2005-02-08","Qualified","12","PY (1) Fixed (capital) asset records are inadequate, (2) Matching share of funds were not recorded and/or transferred, (3) Multiple programs in one fund, (4) The audit report was late, (5) CCA Jail contract - No supporting documentation for administration fee, (6) Social Security taxes and employer matching funds are not withheld or remitted on certain classes of employees, (7) Budget expenditures authority was exceeded, (8) Not depositing within twenty-four hours, (9) County Treasurer&#039;s property tax schedule was not provided, (10) The covered wages per Retiree Health Care reports are less than the covered wages per PERA reports, (11) DFA cash balance requirement not met, (12) Grants managment - grants are not adequately monitored. ",
"5030 - Torrance County (2004)","2005-04-27","Disclaimer","14","11 PY: 1) List of fixed assets was not provided to auditors (repeated/federal); 1) Failure of county to record and/or transfer its matching share of funds for the Universal Hiring Grant, CFDA 16.710, Grant #95CFWX4761 (repeated/federal); 1) Failure of county to provide sub-accounts for two traffic safety grant programs in order to track grant revenues and expenditures (repeated); 1) late audit report (repeated); 1) County is not receiving detailed reports from Corrections Corporation of America and has not documentation to support the management fee payments it receives from CCA (repeated); 1) Failure of the county to withhold or remit social security taxes and employer matching funds for law enforcement officers (repeated); 1) Expenditure over budget for the General, Speical Revenue Funds and Capital Projects funds (repeated); 1) Failure of some county departments to deposit funds received within twenty-four hours of receipt (repeated); 1) County did not provide a Property Tax Schedule that conforms to the S",
"5030 - Torrance County (2005)","2006-06-12","Unqualified","11","7 PY: 1) The audit report was late; 2) Lack of documentation to support payments received under CCA jail contract; 3) Deposits not made within 24 hours; 4) Property tax schedule not in conformity with SAO Rule 2.2.2.12D(2); 5) DFA cash balance requirement not met; 6) Inadequate monitoring of grants and agreements; 7) County&#039;s matching share not made for universal hiring grant. 4 CY: 1) Negative cash balances in funds; 2) FEMA grant documents not available; 3) County funding diverted to non-profit organization; 4) Homeland security equipment list not available.",
"5030 - Torrance County (2006)","2006-11-15","Unqualified","5","4 PY: 1) County treasurer&#039;s property tax schedule; 2) DFA cash balance requirement not met; 3) Grants management; 4) Negative fund balances in funds. 1 CY: Notification not made before disposition of property.",
"5030 - Torrance County (2007)","2009-11-13","Unqualified","8","",
"5030 - Torrance County (2008)","2010-07-21","Unqualified","11","",
"5030 - Torrance County (2009)","2010-11-08","Unqualified","13","",
"5030 - Torrance County (2010)","2010-11-15","Unqualified","4","",
"5030 - Torrance County (2011)","2011-11-15","Unqualified","2","",
"6014 - Town of Bernalillo (1998)","1998-01-01","Disclaimer","5","Fixed Assets (2), Bank Recon, Payroll, Expenditures ",
"6014 - Town of Bernalillo (1999)","1999-01-01","Pending","0"," ",
"6014 - Town of Bernalillo (2000)","2002-02-05","Disclaimer","10","PY(10) -Failure to maintain adequate records/Fixed assets/Documentation in support of payments/Lack of control over check stock/Lack of written policies and procedures/Weaknesses in Internal Control over Payroll/CRS-1 not filed timely/Weaknesses in cash receipting system/Late Audit Report/Funds not budgeted for ",
"6014 - Town of Bernalillo (2001)","2002-02-05","Disclaimer","8","PY-(8)Failure to maintain adequate records control over expenditures/Fixed assets/Lack of control over check stock/Lack of written policies and procedures/Weakness in internal control over payroll/Weakness in cash receipting system/Late audit report/Funds not budgeted for ",
"6014 - Town of Bernalillo (2002)","2002-12-02","Disclaimer","22","5 PY - (2)Fixed (capital) asset records are inadequate. (1)Several funds were not budgeted for and several funds had expenditures that exceeded the budgeted amount. (1)Payroll - segregation of duties (1)Town management has failed to provide auditors with adequate records to support changes in fund balances for the current and prior fiscal years. - 17 CY - (1)There were unsecured public funds, either uninsured or under-collateralized. (1)Accounts receivable - no adequate documentation to support account receivable balances for the Water &amp; Sewer department. (1)There were purchase/procurement code violations. (1)Due To and Due From Accounts do not balance. (1)System File Backup - backup file of computer system is kept on site. (1)Bank accounts - not all cash accounts listed in the bank confirmation have been included in the trial balance. (1)Outdated Funds on Trial Balance. (1)Required reports to oversight agency (DFA/LGD) were filed late/never filed. (1)Accounts Payable - no accounts payable is being accrue",
"6014 - Town of Bernalillo (2003)","2004-06-04","Qualified","12","6 PY - (1)Payroll &amp; separation of duties. (1)System file backup. (1)Housing Authority accounting &amp; recording. (1)Under pledged collateral. (1)Budget deficits. (1)Failure to maintain adequate records. - 6 CY - (1)Tenant security deposits. (1)Utility meter deposits. (1)Stale dated checks. (1)Utility penalties &amp; AR. (1)Revenue bond repair &amp; replacement reserve shortage. (1)Late audit report. ",
"6014 - Town of Bernalillo (2004)","2005-08-03","Qualified","9","6 PY: 1) Fixed (capital) asset records are inadequate; 1) Budget expenditures authority was exceeded; 1) There were unsecured public funds, either uninsured or under-collateralized; 1) The audit report was late; 1) Housing Authority reporting; 1) Utilities and accounts receivable. 3 CY: 1) Documentation of cash receipts; 1) Due to and due from accounts; 1) Journal entry authorization.",
"6014 - Town of Bernalillo (2005)","2007-05-07","Disclaimer","9","CY-9 1)Housin Authority 2)Budget Deficits 3)Failure to maintain adequate depreciation records 4)Utility Penalties &amp; Accounts receivable 5)Late Audit report 6)Documentation of cash receipts 7)Journal entry authorization 8)failure to maintain adequate records 9)Audit report &amp; Data collection form",
"6014 - Town of Bernalillo (2006)","2007-10-22","Disclaimer","15","PY&amp;CY-8 1)Exceeded budget authority 2)Failure to maintain adequate depreciation records 3)Utility penalites &amp; accounts receivable 4)Late Audit Report 5)Documentation of cash receipts 6)Journal entry authorization 7)Failure to maintain adequate records-interfund balances 8)Late Data collection Form (town &amp; component unit) CY-7 1)Personal use of Twon vehicle 2)Bank reconciliation 3)Lack of purchase requisition/purchase order authorization 4)Missing personnel file &amp; Form I-9 5)Lack of supporting documentation for credit card expenditures 6)Overtime is not being paid correctly 7)Segregation of duties",
"6014 - Town of Bernalillo (2007)","2008-07-01","Qualified","12","",
"6014 - Town of Bernalillo (2008)","2009-09-16","In review","16","",
"6014 - Town of Bernalillo (2009)","2011-04-26","Disclaimer","16","",
"6024 - Town of Carrizozo (1998)","1998-01-01","Unqualified","0"," ",
"6024 - Town of Carrizozo (1999)","1999-01-01","Unqualified","1","Improper Payment of Trustee ",
"6024 - Town of Carrizozo (2000)","2000-01-01","Unqualified","1","Bank Reconciliations ",
"6024 - Town of Carrizozo (2001)","2001-11-30","Unqualified","1","Unsecured public funds ",
"6024 - Town of Carrizozo (2002)","2002-12-01","Unqualified","0","",
"6024 - Town of Carrizozo (2003)","2003-11-07","Unqualified","1","CY (1) FY04 budget submitted late ",
"6024 - Town of Carrizozo (2004)","2005-09-12","Unqualified","2","2 CY: 1) The audit report was late; 2) Interim budget not submitted.",
"6024 - Town of Carrizozo (2005)","2007-01-22","Unqualified","1","PY/CY: The audit report was late.",
"6024 - Town of Carrizozo (2006)","2007-11-21","Unqualified","10","PY&amp;CY-1 1)Noncompliance was noted regarding the Town&#039;s policy that unused vacation time be lost at yr end &amp; not monetarily compensated CY-9 1)Payroll inconsistances 2)Budget expenditures Authority was exceeded 3)Violation of the open Meetings Act &amp; noncompliance eith the Town&#039;s personnel policy regarding &quot;overtime&quot; compensation 4)Utility enterprise fund receivable collection practices are inadequate 5)Correction fees collected by the municipal Judge per 35-14-11 NMSA 1978, were used for a disallowed cost 6)Town hasn&#039;t established reserve funds as required by the Wastewater System Improvement Revenue Bonds, Series 2004 7)Inadequate controls over cahs disbursment 8)Late Audit Report 9)Late Data collection form to Federal Clearinghouse",
"6024 - Town of Carrizozo (2007)","2008-02-04","Unqualified","11","<p>PY&amp;CY-9 1)Non-compliance regarding the Town's policy about unused vacation time 2)Payroll checks passed out before payroll date, quarterly payroll reports were prepared incorrectly, the Town is not using the proper cutof dates&nbsp;for pay periods and issues with employee files lacking I-9 forms 3)Budget authority was exceeded 4)Open Meetings Act violation-noncompliance regarding overtime compensaiton 5)Inadequate controls voer cash disbursements 6)Utility enterprise fund receivable collection practices are inadequate and resulted in uncollected sales revenue with Town employees and relatives fo Town elected officials having seriously past due accounts 7)Correction fees collected by the municipal judge per 35-14-11 NMSA 1978 are being used for purposes nor allowed by the applicable statute 8)The Town has not established reserve funds as required by the Wastewater System Improvement Revenue Bonds, Series 2004 9)Late Audit Report&nbsp; CY-2 1)Internal controls-weaknesses over preparation of its financial",
"6024 - Town of Carrizozo (2008)","2008-12-01","Unqualified","0","",
"6024 - Town of Carrizozo (2009)","2009-12-01","Unqualified","0","",
"6024 - Town of Carrizozo (2010)","2011-08-11","Unqualified","5","",
"6024 - Town of Carrizozo (2011)","2011-08-22","Unqualified","5","",
"6034 - Town of Clayton (1998)","1998-01-01","Qualified","10","I/C (2), State Compliance (3), Landfill (2), Cash Deposits, F/A, Deficit F/B ",
"6034 - Town of Clayton (1999)","1999-01-01","Pending","0"," ",
"6034 - Town of Clayton (2000)","2000-01-01","Unqualified","7","(1)PY (1)Bank Acct. established w/o Board Authorization (2)Deposits (1)Bank Recs (1)Receipts from Police Dept. (1)Late audit report ",
"6034 - Town of Clayton (2001)","2002-10-01","Unqualified","3","CY (2) budget expenditures authority was exceeded, one federal and one financial, CY &amp; PY (1) audit report was submitted late ",
"6034 - Town of Clayton (2002)","2004-03-16","Unqualified","1","PY&amp;CY-1 1)Late Audit Report",
"6034 - Town of Clayton (2003)","2004-07-19","Unqualified","1","PY&amp;CY-1 1)Late Audit Report",
"6034 - Town of Clayton (2004)","2005-08-22","Unqualified","18","18 CY: 1) Loan from board trustee; 1) Housing authority presentation; 1) New Mexico gross receipts tax; 1) Capital assets subsidiary records; 1) Deletions of capital assets; 1) Annual inventory of capital assets; 1) Audit report submission to the NM State Auditor; 1) Submission of annual budget; 1) Travel and per diem; 1) Petty cash disbursements; 1) Remittance of fees - municipal court; 1) Agency credit cards; 1) Purchase orders; 1) Capital assets subsidiary records - component unit; 1) Deletions of capital assets - component unit; 1) Audit report submission to the NM State Auditor - component unit; 1) Audit report submission to the US Dept. of HUD - component unit; 1) Travel and per diem - component unit.",
"6034 - Town of Clayton (2005)","2006-02-21","Unqualified","5","2 PY: 1) Missing purchase orders; 2) Late audit report. 3 CY: 1) Notes &amp; leases payable were not maintained in a long-term liability account group; 2) Missing 1099 form for $7000 to contract attorney; 3) Expenditures exceeded budget.",
"6034 - Town of Clayton (2006)","2006-12-01","Unqualified","7","7 CY: 1) Procurement process (bids); 2) Procurement procedures (purchasing); 3) Budget authority - HA; 4) Expenses &amp; expenditures -HA; 5) Department of housing &amp; urban development - HA; 6) Tenant eligibility - HA; 7) Anti-donation expenses- HA.",
"6034 - Town of Clayton (2007)","2007-12-01","Unqualified","6","<p>PY&amp;CY-3 1)The Authority's expenditures for operating expensesexceeded the budget of $183,555 by $21,148 2)Test work of 12 Authority Tenant files revealed: 1 where the applicant income was not verified, 4 where the applicants didn't complete the release of information/privacy form; 4 where the applicants didn't complete the personal declaration of status correctly; &amp; 2 where the applicants didn't fill out the Community Service/Self Sufficiency Policy 3)Testing 25 expenditures of the Authority revealed no invoice for: a $500 pymt to a contractor &amp; a $400 pymt to the Clayton Art Festival for artwork for the administrative office CY-3 1)25 Twon of Clayton personnel files tested revealed: 7 didn't have documentation verifying the hourly or salary rate being paid; 2 didn't have an insurance waiver form &amp; 1 of the timesheets tested was incomplete</p>",
"6034 - Town of Clayton (2008)","2009-01-16","Unqualified","5","<p>PY-1 1)Employee Personnel files and employee timesheets CY-4 1)Internal control deficiencies 2)Internal control over Credit Card usage 3)Late Audit Report 4)Tenant eligibility/Component Unit-tenant files were missing forms</p>",
"6034 - Town of Clayton (2009)","2010-01-25","Unqualified","16","",
"6034 - Town of Clayton (2010)","2011-08-12","Unqualified","11","",
"6034 - Town of Clayton (2011)","2011-11-30","Unqualified","12","",
"6039 - Town of Cochiti Lake (1998)","1998-01-01","Qualified","5","P/Y (4), C/Y (1), Cash Receipts, G.L., P/R, Grant Mgt., Utility Deposit ",
"6039 - Town of Cochiti Lake (1999)","1999-01-01","Qualified","3","1 PY repeated; Grant Accouting/Compliance, Bank Reconciliation Duty Segregation, Cash Disbursements Documentation ",
"6039 - Town of Cochiti Lake (2000)","2000-01-01","Qualified","2","(1)Cash, (1) Fixed Assets ",
"6039 - Town of Cochiti Lake (2001)","2001-11-30","Qualified","3","(1)PY-Cash disbursements (1)Bank reconciliations (1)Budget monitoring ",
"6039 - Town of Cochiti Lake (2002)","2002-12-02","Unqualified","6","CY (1) fixed capital asset records are inadequate/no inventory of Fire Dept and Emergency Medical Services dept capital assets as of June 30, 2002, (1) payroll and payroll tax form irregularities, (1) employee was hired without evidence of an approved pay rate, (1) petty cash is not being kept on the imprest system, (1) payroll advances were made to several employees without receiving a promissory note in return, PY (1) bank accounts are not reconciled. ",
"6039 - Town of Cochiti Lake (2003)","2003-12-01","Qualified","5","3 PY - (1)Bank accounts were not reconciled. (1)Petty cash. (1)Capital asset inventory. - 2 CY - (1)Record keeping documentation. (1)Over-expenditure of the budget for the general fund. ",
"6039 - Town of Cochiti Lake (2004)","2005-05-02","Unqualified","7","1 PY: 1) Failure to maintain a listing of capital assets inventory (repeated). 6 CY: 1) Investments held by the town are not in compliance with state statutes; 1) No pledged collateral for cash accounts held at one of the town&#039;s banks; 1) Inadequate segregation of duties; 1) Payroll taxes not submitted on a timely basis; 1) Final approved 2004 budget was submitted late to DFA/LGD; 1) Late audit report.",
